"Item Id","Name","Description","External Name","Item Type","Item Family ID","Status","Is Giftable","Is Shippable","Redirect Url","Enabled For Checkout","Enabled In Portal","Unit","Gift Claim Redirect Url","Metered","Usage Calculation"
"JaarAbonnement12Bomen","JaarAbonnement12Bomen","120 euro per jaar","JaarAbonnement12Bomen","Plan","Boom-abonnementen","Active","false","false","","true","true","","","false",""
"1-boom-per-maand-ingang-volgende-maand","1 boom per maand ingang volgende maand","Aanmaken abonnement","1 boom per maand","Plan","Boom-abonnementen","Active","false","false","https://www.planteenboom.nu/pages/bedankt-10-euro-abonnement","true","true","","","false",""
"Zilver-abonnement-4smilingfaces-833","Zilver abonnement 4smilingfaces 8.33","Maandelijkse betaling Plant N Boom","Zilver abonnement 4smilingfaces 8.33","Plan","Boom-abonnementen","Active","false","false","","true","true","","","false",""
"company-x","company x","Maandelijkse afschrijving voor plant n boom","Silver certificate company X","Plan","Boom-abonnementen","Active","false","false","","true","true","","","false",""
"donation-amount","donation-amount","donation-amount","donation-amount","Addon","Eenmalige-betaling","Active","false","false","","true","true","","","false",""
"Flexible-donation","Flexible donation","Geeft een zelf te bepalen donatiebedrag.","Flexible donation","Plan","Eenmalige-betaling","Active","false","false","","true","true","","","false",""
"Bezabouw","Bezabouw","Maandelijke betaling Plant N Boom Bezabouw","Bezabouw 122.5 euro","Plan","Boom-abonnementen","Active","false","false","","true","true","","","false",""
"Maandelijkse-bijdrage-1250-euro","Maandelijkse bijdrage 12.50 euro","Donateurs van Plant N Boom die 12.50 per maand schenken.","Maandelijkse bijdrage 12.50 euro","Plan","Boom-abonnementen","Active","false","false","","true","true","","","false",""
"Bezabouw2023","Bezabouw2023","Contact 1350 per jaar bezabouw","Bezabouw 112.5 euro","Plan","Boom-abonnementen","Active","false","false","https://www.planteenboom.nu","true","false","","","false",""
"donatie-75-euro","donatie 75 euro","donatie 75 euro aan Plant N Boom","donatie 75 euro","Charge","Eenmalige-betaling","Active","false","false","","true","true","","","false",""
"gift150","gift150","Jaarlijkse gift van 150 euro","Jaarlijkse gift van 150 euro","Plan","Boom-abonnementen","Active","false","false","https://www.planteenboom.nu/","true","true","","","false",""
"20-euro-24-bomen-abonnement","20 euro (24 bomen p/j) abonnement","Meld je aan voor het 24 bomen per jaar abonnement. Hiermee wordt 12 ton CO2 gecompenseerd en de Makombeh gemeenschap kan rekenen op geregelde inkomsten. Nadat je akkoord hebt gegeven op de onderstaande machtiging, zal STRIPE in opdracht van Plant N Boom elke maand op de dag van inschrijving, tot wederopzegging, een bedrag van € 20 (incl. 0.00% btw) in rekening brengen.","20 euro per maand boomabonnement (24 bomen | 12 ton CO2)","Plan","Boom-abonnementen","Active","false","false","https://www.planteenboom.nu/pages/dank-je-wel-1-boom-per-maand-abonnement","true","true","","","false",""
"17-5-euro-21-bomen-abonnement","17.5 euro (21 bomen p/j) abonnement","Meld je aan voor het 21 bomen per jaar abonnement. Hiermee wordt 10.5 ton CO2 gecompenseerd en de Makombeh gemeenschap kan rekenen op geregelde inkomsten. Nadat je akkoord hebt gegeven op de onderstaande machtiging, zal STRIPE in opdracht van Plant N Boom elke maand op de dag van inschrijving, tot wederopzegging, een bedrag van € 17.5 (incl. 0.00% btw) in rekening brengen.","17.5 euro per maand boomabonnement (21 bomen | 10.5 ton CO2)","Plan","Boom-abonnementen","Active","false","false","https://www.planteenboom.nu/pages/dank-je-wel-1-boom-per-maand-abonnement","true","true","","","false",""
"5-euro-6-bomen-abonnement","5 euro (6 bomen) abonnement","Meld je aan voor het 6 bomen per jaar abonnement. Hiermee wordt 5 ton CO2 gecompenseerd en de Makombeh gemeenschap kan rekenen op geregelde inkomsten. Nadat je akkoord hebt gegeven op de onderstaande machtiging, zal STRIPE in opdracht van Plant N Boom elke maand op de dag van inschrijving, tot wederopzegging, een bedrag van € 5 (incl. 0.00% btw) in rekening brengen.","5 euro per maand boomabonnement (6 bomen | 3 ton CO2)","Plan","Boom-abonnementen","Active","false","false","https://www.planteenboom.nu/pages/dank-je-wel-1-boom-per-maand-abonnement","true","true","","","false",""
"12-5-euro-15-bomen-abonnement","12.5 euro (15 bomen p/j) abonnement","Meld je aan voor het 15 bomen per jaar abonnement. Hiermee wordt 7.5 ton CO2 gecompenseerd en de Makombeh gemeenschap kan rekenen op geregelde inkomsten. Nadat je akkoord hebt gegeven op de onderstaande machtiging, zal STRIPE in opdracht van Plant N Boom elke maand op de dag van inschrijving, tot wederopzegging, een bedrag van € 12.5 (incl. 0.00% btw) in rekening brengen.","12.5 euro per maand boomabonnement (15 bomen | 7.5 ton CO2)","Plan","Boom-abonnementen","Active","false","false","https://www.planteenboom.nu/pages/dank-je-wel-1-boom-per-maand-abonnement","true","true","","","false",""
"750-9-bomen-abonnement","7.50 euro (9 bomen p/j) abonnement","Meld je aan voor het 9 bomen per jaar abonnement. Hiermee wordt 4.5 ton CO2 gecompenseerd en de Makombeh gemeenschap kan rekenen op geregelde inkomsten. Nadat je akkoord hebt gegeven op de onderstaande machtiging, zal STRIPE in opdracht van Plant N Boom elke maand op de dag van inschrijving, tot wederopzegging, een bedrag van € 7.5 (incl. 0.00% btw) in rekening brengen.","7.50 euro per maand boomabonnement (9 bomen | 4.5 ton CO2)","Plan","Boom-abonnementen","Active","false","false","https://www.planteenboom.nu/pages/dank-je-wel-1-boom-per-maand-abonnement","true","true","","","false",""
"open","open","Vul het bedrag dat je wilt doneren hier in","open","Charge","Eenmalige-betaling","Active","false","false","","true","true","","","false",""
"100-euro-donatie","100 euro donatie","* € 100: voor dit bedrag planten we 10 bomen, al snel een klein bos","100 euro donatie","Charge","Eenmalige-betaling","Active","false","false","","true","true","","","false",""
"50-euro-donatie","50 euro donatie","* € 50: voor dit bedrag planten we 5 bomen, en compenseer 2,5 ton CO2","50 euro donatie","Charge","Eenmalige-betaling","Active","false","false","","true","true","","","false",""
"30-euro-donatie","30-euro donatie","* € 30: voor dit bedrag planten we 3 bomen, per jaar goed voor 1,5 ton CO2 compensatie","30-euro donatie","Charge","Eenmalige-betaling","Active","false","false","","true","true","","","false",""
"10-euro-donatie","10 euro donatie","* € 10: voor dit bedrag planten we 1 boom, daarmee compenseer je 0,5 ton CO2","10 euro donatie","Charge","Eenmalige-betaling","Active","false","false","","true","true","","","false",""
"20-12-ton-CO2-24-bomen","30 euro donatie","* € 30: voor dit bedrag planten we 3 bomen, per jaar goed voor 1,5 ton CO2 compensatie","€ 30 donatie","Charge","Eenmalige-betaling","Archived","false","false","","true","true","","","false",""
"15-boom-per-maand","15 euro (18 bomen) abonnement","Meld je aan voor het 18 bomen per jaar abonnement. Hiermee wordt 9 ton CO2 gecompenseerd en de Makombeh gemeenschap kan rekenen op geregelde inkomsten. Nadat je akkoord hebt gegeven op de onderstaande machtiging, zal STRIPE in opdracht van Plant N Boom elke maand op de dag van inschrijving, tot wederopzegging, een bedrag van € 15 (incl. 0.00% btw) in rekening brengen.","15 euro per maand boomabonnement (18 bomen | 9 ton CO2)","Plan","Boom-abonnementen","Active","false","false","https://www.planteenboom.nu/pages/dank-je-wel-1-boom-per-maand-abonnement","true","true","","","false",""
"1-boom-per-maand","10 euro (12 bomen) abonnement","Meld je aan voor het 12 bomen per jaar abonnement. Hiermee wordt 6 ton CO2 gecompenseerd en de Makombeh gemeenschap kan rekenen op geregelde inkomsten. Nadat je akkoord hebt gegeven op de onderstaande machtiging, zal STRIPE in opdracht van Plant N Boom elke maand op de dag van inschrijving, tot wederopzegging, een bedrag van € 10 (incl. 0.00% btw) in rekening brengen.","10 euro per maand boomabonnement (12 bomen | 6 ton CO2)","Plan","Boom-abonnementen","Active","false","false","https://www.planteenboom.nu/pages/dank-je-wel-1-boom-per-maand-abonnement","true","true","","","false",""
"10euro-subscription","10euro subscription","1 tree per month will be planted","Tree subscription (individual)","Plan","Tree-Subscriptions","Archived","false","false","https://www.planteenboom.nu","true","true","","","false",""
