workflow_id,workflow_name,zap_id,trigger_app,trigger_event,trigger_filters,actions,action_apps,postgresql_queries,postgresql_tables,postgresql_fields_updated,zoho_creator_apps_forms_touched,zoho_mail_actions,shopify_references,chargebee_references,webhook_references,code_by_zapier_summary,formatter_summary,looping_summary,branch_path_logic,expected_business_result,likely_dashboard_category,audit_evidence_found,missing_audit_evidence,history_success,history_filtered,history_halted,history_error,manual_followup_required,risk_level,open_questions,status
zap_1,IMCD_NL_TreeCert_Postgres,1,ZohoForms,new_form_entry,2 filter/path steps,1:ZohoForms:new_form_entry > 2:PostgreSQL:row_custom_query > 3:BranchingAPI:branch > 4:BranchingAPI:filter > 5:BranchingAPI:filter > 6:PostgreSQL:row_custom_query > 7:PostgreSQL:row_custom_query > 8:PostgreSQL:update_row > 9:ZohoCreator:create_record > 10:PostgreSQL:row > 11:PostgreSQL:row_custom_query > 12:PostgreSQL:row_custom_query > 13:PostgreSQL:update_row > 14:ZohoCreator:create_record,ZohoForms; PostgreSQL; BranchingAPI; ZohoCreator,5 SQL/query steps,users1; trees1,query; update__tree_code; row_id; update__tree_type; update__user_id; update__claimed_at; VoornaamOntvanger; oomtype; Boom_code; EmailGever; Boomnaaam; Email_ontvanger_cadeauboom; PD_Boom1; email; updated_at; created_at; update__tree_name,Zoho Creator records/forms touched; exact app/form needs verification from Zap step mappings,,no,no,no,0 Code by Zapier steps,0 Formatter steps,0 Looping steps,3 branch/path steps,Allocate tree/certificate record from Zoho Form submission.,certificate/tree allocation,Zapier history CSV; PostgreSQL users1/trees1,standardized final workflow/audit log row,10,0,0,0,unknown,low,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
zap_15,IMCD_BEL_TreeCert_Postgres,15,ZohoForms,new_form_entry,2 filter/path steps,15:ZohoForms:new_form_entry > 16:PostgreSQL:row_custom_query > 17:BranchingAPI:branch > 18:BranchingAPI:filter > 19:BranchingAPI:filter > 20:PostgreSQL:row_custom_query > 21:PostgreSQL:row_custom_query > 22:PostgreSQL:update_row > 23:ZohoCreator:create_record > 24:PostgreSQL:row > 25:PostgreSQL:row_custom_query > 26:PostgreSQL:row_custom_query > 27:PostgreSQL:update_row > 28:ZohoCreator:create_record,ZohoForms; PostgreSQL; BranchingAPI; ZohoCreator,5 SQL/query steps,users1; trees1,query; update__tree_code; row_id; update__tree_type; update__user_id; update__claimed_at; VoornaamOntvanger; oomtype; Boom_code; EmailGever; Boomnaaam; Email_ontvanger_cadeauboom; PD_Boom1; email; updated_at; created_at; update__tree_name,Zoho Creator records/forms touched; exact app/form needs verification from Zap step mappings,,no,no,no,0 Code by Zapier steps,0 Formatter steps,0 Looping steps,3 branch/path steps,Allocate tree/certificate record from Zoho Form submission.,certificate/tree allocation,Zapier history CSV; PostgreSQL users1/trees1,standardized final workflow/audit log row,2,0,0,0,unknown,low,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
zap_29,zap a multipleEigenbomenShopifyToPostgreSQL (SKU 02),29,Shopify,new_paid_order_v3,3 filter/path steps,29:Shopify:new_paid_order_v3 > 30:FilterAPI:filter > 31:PostgreSQL:row_custom_query > 32:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 33:ZapierLooping:loop_values_line_items > 34:PostgreSQL:row_custom_query > 35:BranchingAPI:branch > 36:BranchingAPI:filter > 37:BranchingAPI:filter > 38:PostgreSQL:row_custom_query > 39:PostgreSQL:update_row > 40:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 41:ZohoCreator:create_record > 42:PostgreSQL:row > 43:PostgreSQL:update_row > 44:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 45:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 46:ZohoCreator:create_record,Shopify; FilterAPI; PostgreSQL; Code; ZapierLooping; BranchingAPI; ZohoCreator,3 SQL/query steps,trees1; users1,query; iteration_limit; update__lat; update__long; update__tree_code; row_id; update__tree_type; update__user_id; update__tree_id; update__order_id; update__claimed_at; sku; voornaam_ontvanger; achternaam_ontvanger; email_ontvanger; tree_code; lat; long; tree_type; aantal_bomen; language; user_id; Assigned_Trees; order_id; email; updated_at; created_at; dump,Zoho Creator records/forms touched; exact app/form needs verification from Zap step mappings,,yes,no,no,4 Code by Zapier steps,0 Formatter steps,1 Looping steps,3 branch/path steps,Allocate owned tree purchase to PostgreSQL and create Zoho Creator evidence.,shopify/tree purchase,Zapier history CSV; PostgreSQL trees1/users1,standardized final workflow/audit log row,0,12,0,0,yes/unknown,medium,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
zap_47,zap a- Shopify -> Tokenized Gift Tree Link (SKU 01),47,Shopify,new_paid_order_v3,1 filter/path steps,47:Shopify:new_paid_order_v3 > 48:FilterAPI:filter > 49:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 50:PostgreSQL:rows_custom_query_v2 > 51:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 52:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 53:ZapierFormatter:datetime_line_item > 54:ZapierFormatter:datetime_line_item > 55:ZohoCreator:create_record > 56:PostgreSQL:row_custom_query > 57:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 58:PostgreSQL:row_custom_query > 59:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 60:ZohoMail:sendMail,Shopify; FilterAPI; Code; PostgreSQL; ZapierFormatter; ZohoCreator; ZohoMail,3 SQL/query steps,trees1; gift_claims; SET; email_templates_01_gifttrees,query; inputs; gifter_email; token; tree_ids; number_of_trees; expires_at; sku; language; order_ID; subject; content,Zoho Creator records/forms touched; exact app/form needs verification from Zap step mappings,"{{59__subject}}
",yes,no,no,5 Code by Zapier steps,2 Formatter steps,0 Looping steps,0 branch/path steps,"Create claim token, reserve/record gift claim, send claim-link email.",shopify/tree purchase,Zapier history CSV; PostgreSQL trees1/gift_claims/SET/email_templates_01_gifttrees; Zoho Mail outbound action,standardized final workflow/audit log row,0,6,0,0,yes/unknown,medium,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
zap_61,ZAP B,61,ZohoForms,new_form_entry,6 filter/path steps,61:ZohoForms:new_form_entry > 62:PostgreSQL:row_custom_query > 63:FilterAPI:filter > 64:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 65:FilterAPI:filter > 66:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 67:ZapierLooping:loop_values_line_items > 68:ZapierFormatter:datetime_line_item > 69:PostgreSQL:row_custom_query > 70:BranchingAPI:branch > 71:BranchingAPI:filter > 72:BranchingAPI:filter > 73:PostgreSQL:row_custom_query > 74:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 75:PostgreSQL:row_custom_query > 76:PostgreSQL:row_custom_query > 77:PostgreSQL:row_custom_query > 78:FilterAPI:filter > 79:ZapierFormatter:datetime_line_item > 80:ZapierFormatter:datetime_line_item > 81:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 82:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 83:ZohoCreator:create_record > 84:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 85:PostgreSQL:row_custom_query > 86:PostgreSQL:row_custom_query > 87:PostgreSQL:row_custom_query > 88:FilterAPI:filter > 89:ZapierFormatter:datetime_line_item > 90:ZapierFormatter:datetime_line_item > 91:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 92:PostgreSQL:row_custom_query > 93:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 94:ZohoCreator:create_record,ZohoForms; PostgreSQL; FilterAPI; Code; ZapierLooping; ZapierFormatter; BranchingAPI; ZohoCreator,10 SQL/query steps,gift_claims; users1; SET; trees1,query; inputs; token; recipient_name; recipient_email; deliver_on; sku; gift_claim_token; personal_message; certificate_type; nickname_sender; number_of_trees; pin_code; language; Assigned_Trees; bcc_address; display_name; tree_ids_csv,Zoho Creator records/forms touched; exact app/form needs verification from Zap step mappings,,no,no,no,8 Code by Zapier steps,5 Formatter steps,1 Looping steps,3 branch/path steps,"Process gift tree claim form, allocate claimed trees, create certificate jobs.",other,PostgreSQL gift_claims/users1/SET/trees1,standardized final workflow/audit log row,0,0,0,0,unknown,low,Verify production active/paused state and whether final customer-visible evidence is complete.,not_audited
zap_95,Nieuw abonnes chargebee REVERTED,95,Chargebee,payment_succeeded,7 filter/path steps,95:Chargebee:payment_succeeded > 96:ZapierFormatter:util_line_item > 97:BranchingAPI:branch > 98:BranchingAPI:filter > 99:BranchingAPI:filter > 100:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 101:ZohoMail:sendMail > 102:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 103:PostgreSQL:row_custom_query > 104:BranchingAPI:branch > 105:BranchingAPI:filter > 106:BranchingAPI:filter > 107:ZapierFormatter:datetime_line_item > 108:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 109:PostgreSQL:update_row > 110:PostgreSQL:row > 111:PostgreSQL:row_custom_query > 112:PostgreSQL:update_row > 113:FilterAPI:filter > 114:ZohoMail:sendMail > 115:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 116:PostgreSQL:row > 117:PostgreSQL:row_custom_query > 118:FilterAPI:filter > 119:PostgreSQL:row_custom_query > 120:PostgreSQL:update_row > 121:FilterAPI:filter > 122:ZohoMail:sendMail > 123:PostgreSQL:update_row,Chargebee; ZapierFormatter; BranchingAPI; Code; ZohoMail; PostgreSQL; FilterAPI,4 SQL/query steps,users1; trees1,inputs; subject; content; query; row_id; update__first_name; update__last_name; update__chargebee_id; update__subscription_type; update__subscription_info; lookup_value; update__user_id; update__claimed_at; update__claim_email_sent_at; email; first_name; last_name; chargebee_id; subscription_type; subscription_info; updated_at; created_at,,{{100__alert_subject}}; Tree allocated -> {{111__tree_code}} to {{103__email}}; Tree allocated -> {{119__tree_code}} to {{103__email}},no,yes,no,4 Code by Zapier steps,2 Formatter steps,0 Looping steps,6 branch/path steps,"Handle subscription/customer record, allocate subscription tree, send allocation mail.",subscription,Zapier history CSV; PostgreSQL users1/trees1; Zoho Mail outbound action,standardized final workflow/audit log row,62,0,8,0,yes/unknown,medium,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
zap_124,Monthly Tree Report,124,Schedule,everyMonth,0 filter/path steps,124:Schedule:everyMonth > 125:PostgreSQL:rows_custom_query_v2 > 126:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 127:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 128:ZohoMail:sendMail,Schedule; PostgreSQL; Code; ZohoMail,1 SQL/query steps,trees1,subject; content,,Monthly trees report - {{124__date_month}} {{124__date_year}} ({{126__count}} items),no,no,no,2 Code by Zapier steps,0 Formatter steps,0 Looping steps,0 branch/path steps,Email monthly tree report.,reporting,Zapier history CSV; PostgreSQL trees1; Zoho Mail outbound action,standardized final workflow/audit log row,1,0,0,0,unknown,low,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
zap_129,Send Forest Hero Photo Email (once per user/ p/h) - Forest Photo 2025Q4 - Eénmalige e-mail,129,Schedule,everyHour,0 filter/path steps,129:Schedule:everyHour > 130:PostgreSQL:rows_custom_query_v2 > 131:ZapierFormatter:util_line_item > 132:ZapierLooping:loop_values_line_items > 133:PostgreSQL:row_custom_query > 134:ZohoMail:sendMail,Schedule; PostgreSQL; ZapierFormatter; ZapierLooping; ZohoMail,2 SQL/query steps,photos; trees1; base; users1; params; email_log; unsent,query; subject; content,,"{{=gives['330591777']['first_name']}}, we hebben een van jouw bomen gefotografeerd 🌳💚",no,no,no,0 Code by Zapier steps,1 Formatter steps,1 Looping steps,0 branch/path steps,Send forest photo email once and log to email_log.,outbound photo email,Zapier history CSV; PostgreSQL email_log; PostgreSQL photos/trees1/base/users1/params/email_log/unsent; Zoho Mail outbound action,standardized final event status fields,7,0,1420,0,unknown,low,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
zap_135,(Copy) zap b multiple Eigenbomen SKU02,135,Shopify,new_paid_order_v3,1 filter/path steps,135:Shopify:new_paid_order_v3 > 136:FilterAPI:filter > 137:Delay:delay_for > 138:PostgreSQL:rows_custom_query_v2 > 139:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 140:ZohoCreator:create_record,Shopify; FilterAPI; Delay; PostgreSQL; Code; ZohoCreator,1 SQL/query steps,trees1; users1,query; Assigned_Trees; order_id; sku; voornaam_ontvanger; achternaam_ontvanger; email_ontvanger; aantal_bomen; language; user_id,Zoho Creator records/forms touched; exact app/form needs verification from Zap step mappings,,yes,no,no,1 Code by Zapier steps,0 Formatter steps,0 Looping steps,0 branch/path steps,Allocate owned tree purchase to PostgreSQL and create Zoho Creator evidence.,shopify/tree purchase,Zapier history CSV; PostgreSQL trees1/users1,standardized final workflow/audit log row,0,6,0,0,unknown,medium,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
zap_141,Nieuw abonnes shopify handmatig - zoho form,141,ZohoForms,new_form_entry,7 filter/path steps,141:ZohoForms:new_form_entry > 142:ZapierFormatter:datetime_line_item > 143:ZapierFormatter:util_line_item > 144:BranchingAPI:branch > 145:BranchingAPI:filter > 146:BranchingAPI:filter > 147:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 148:ZohoMail:sendMail > 149:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 150:PostgreSQL:row_custom_query > 151:BranchingAPI:branch > 152:BranchingAPI:filter > 153:BranchingAPI:filter > 154:ZapierFormatter:datetime_line_item > 155:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 156:PostgreSQL:update_row > 157:PostgreSQL:row > 158:PostgreSQL:row_custom_query > 159:PostgreSQL:update_row > 160:FilterAPI:filter > 161:ZohoMail:sendMail > 162:PostgreSQL:update_row > 163:Code:01929fad-d3f6-c57c-1b40-ef8691be1f86 > 164:PostgreSQL:row > 165:PostgreSQL:row_custom_query > 166:FilterAPI:filter > 167:PostgreSQL:row_custom_query > 168:PostgreSQL:update_row > 169:FilterAPI:filter > 170:ZohoMail:sendMail > 171:PostgreSQL:update_row,ZohoForms; ZapierFormatter; BranchingAPI; Code; ZohoMail; PostgreSQL; FilterAPI,4 SQL/query steps,users1; trees1,inputs; subject; content; query; row_id; update__first_name; update__last_name; update__subscription_type; update__subscription_info; lookup_value; update__user_id; update__claimed_at; update__claim_email_sent_at; email; first_name; last_name; subscription_type; subscription_info; updated_at; created_at,,{{147__alert_subject}}; Tree allocated -> {{158__tree_code}} to {{150__email}}; Tree allocated -> {{167__tree_code}} to {{150__email}},yes,no,no,4 Code by Zapier steps,3 Formatter steps,0 Looping steps,6 branch/path steps,"Handle subscription/customer record, allocate subscription tree, send allocation mail.",shopify/tree purchase,PostgreSQL users1/trees1; Zoho Mail outbound action,standardized final workflow/audit log row,0,0,0,0,yes/unknown,medium,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
zap_172,Webhooks by Zapier,172,WebHook,hook_v2,1 filter/path steps,172:WebHook:hook_v2 > 173:FilterAPI:filter > 174:ZohoMail:sendMail,WebHook; FilterAPI; ZohoMail,0 SQL/query steps,,content,,Your KETSO Academy upload has been approved,no,no,yes,0 Code by Zapier steps,0 Formatter steps,0 Looping steps,0 branch/path steps,Workflow needs verification.,other,Zapier history CSV; Zoho Mail outbound action,standardized final workflow/audit log row,45,21,0,0,unknown,low,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
zap_175,Trigger: New or Updated Contact in Zoho CRM,175,ZohoCRM,new_or_updated_module_entry,1 filter/path steps,175:ZohoCRM:new_or_updated_module_entry > 176:FilterAPI:filter > 177:PostgreSQL:row_custom_query > 178:ZohoCRM:update_module_entry > 179:ZohoMail:sendMail > 180:ZohoCRM:update_module_entry,ZohoCRM; FilterAPI; PostgreSQL; ZohoMail,1 SQL/query steps,process_academy_student_from_crm,query; KETSO_student_ID; Onboarding_URL; Academy_automation_status; Academy_onboarding_status; content; Academy_onboarding_invite_status; Academy_onboarding_invite_date,,Complete your KETSO Academy onboarding,no,no,no,0 Code by Zapier steps,0 Formatter steps,0 Looping steps,0 branch/path steps,Create/update Academy onboarding data and send onboarding email.,academy/onboarding,Zapier history CSV; PostgreSQL process_academy_student_from_crm; Zoho Mail outbound action,standardized final workflow/audit log row,74,912,0,13,unknown,high,Verify production active/paused state and whether final customer-visible evidence is complete.,partially_audited
